
day,entity,product,price_tier,anticipation_method,payment_method,installments,amount_transacted,quantity_transactions,quantity_of_merchants
2025-01-01,PJ,pix,intermediary,Pix,uninformed,1,546030.68,13361,675
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,1,574568.13,9104,694
2025-01-01,PJ,tap,normal,D0/Nitro,credit,1,342178.87,2655,1607
2025-01-01,PJ,tap,domination,D1Anticipation,debit,1,1183.21,63,9
2025-01-01,PJ,tap,aggressive,D0/Nitro,credit,1,10158.11,30,20
2025-01-01,PF,pos,normal,D1Anticipation,credit,1,21091.2,569,162
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,1,937656.46,17569,1942
2025-01-01,PF,link,normal,D1Anticipation,credit,1,179109.81,610,581
2025-01-01,PJ,tap,aggressive,D1Anticipation,debit,1,17833.09,212,77
2025-01-01,PJ,pos,domination,D1Anticipation,credit,1,368073.8,4371,227
2025-01-01,PJ,link,normal,D0/Nitro,credit,1,90199.56,291,258
2025-01-01,PF,pos,normal,D0/Nitro,debit,1,19416.25,806,90
2025-01-01,PJ,tap,intermediary,D1Anticipation,debit,1,5863.04,72,22
2025-01-01,PJ,pos,intermediary,D1Anticipation,debit,1,930759.29,25464,741
2025-01-01,PJ,tap,normal,D1Anticipation,credit,1,527122.43,2447,1442
2025-01-01,PJ,bank_slip,normal,Bank Slip,uninformed,1,34587.57,100,31
2025-01-01,PJ,tap,intermediary,D0/Nitro,credit,1,1095.26,12,4
2025-01-01,PJ,pos,normal,D1Anticipation,credit,1,2659934.62,54059,12525
2025-01-01,PJ,pos,domination,D0/Nitro,debit,1,16029.07,320,13
2025-01-01,PJ,link,domination,D1Anticipation,credit,1,19246.12,22,7
2025-01-01,PJ,link,aggressive,D0/Nitro,credit,1,531.86,1,1
2025-01-01,PJ,tap,domination,D0/Nitro,credit,1,226.21,4,3
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,1,18916.19,19,18
2025-01-01,PJ,pix,normal,Pix,uninformed,1,5460676.67,166314,15402
2025-01-01,PJ,pos,normal,D1Anticipation,debit,1,4638274.62,161453,16039
2025-01-01,PF,tap,normal,D1Anticipation,debit,1,565775.14,17621,6243
2025-01-01,PF,pos,normal,D1Anticipation,debit,1,42976.59,1683,214
2025-01-01,PF,pos,normal,D0/Nitro,credit,1,8315.97,207,56
2025-01-01,PJ,tap,domination,D1Anticipation,credit,1,51711.64,23,10
2025-01-01,PF,bank_slip,normal,Bank Slip,uninformed,1,52109.9,68,55
2025-01-01,PJ,tap,aggressive,D0/Nitro,debit,1,6144.56,35,14
2025-01-01,PF,tap,aggressive,D1Anticipation,credit,1,7492.22,2,2
2025-01-01,PF,tap,intermediary,D1Anticipation,credit,1,3098.85,8,2
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,1,100129.89,74,39
2025-01-01,PF,tap,aggressive,D0/Nitro,credit,1,659,1,1
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,1,11226.51,16,9
2025-01-01,PF,tap,normal,D0/Nitro,debit,1,2025293.62,44968,19374
2025-01-01,PJ,link,normal,D1Anticipation,credit,1,122406.13,409,376
2025-01-01,PJ,pos,aggressive,D1Anticipation,debit,1,1674530.51,50577,2099
2025-01-01,PJ,pos,domination,D1Anticipation,debit,1,524579.78,10993,233
2025-01-01,PF,tap,normal,D1Anticipation,credit,1,2123212.34,12018,7403
2025-01-01,PJ,pos,normal,D0/Nitro,debit,1,1334837.3,45525,4206
2025-01-01,PJ,link,intermediary,D0/Nitro,credit,1,6471.86,7,5
2025-01-01,PF,tap,normal,D0/Nitro,credit,1,3967225.65,32092,20887
2025-01-01,PJ,tap,normal,D0/Nitro,debit,1,183912.09,4131,1588
2025-01-01,PJ,pos,domination,D0/Nitro,credit,1,13483.54,132,12
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,1,107367.32,162,96
